sampleplotid,x,y,measurementdate,g,d,h,v,v.ma,v.ku,v.lp,myear,filename.1,a.date.1,a.window.1,filename.2,a.date.2,a.window.2,v.lp.proc
908057,322936.87,6918548.1,2013,21.3,15.4,14.5,153.48,148.97,0,4.51,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212E1.laz,2013-07-11,C,NA,NA,NA,3
908058,323189.38,6918548.19,2013,15.5,18.1,14.2,109.4,108.53,0,0.87,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212E3.laz,2013-07-11,C,NA,NA,NA,1
908062,326484.5,6917805.45,2013,30.4,26.3,22.7,326.05,0,266.71,59.34,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4211H2.laz,2013-07-12,C,NA,NA,NA,18
908064,326489.69,6918303.39,2013,32.8,33.1,22,328.57,304.41,19.94,4.22,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212G1.laz,2013-07-12,C,NA,NA,NA,1
908073,330787.17,6918054.29,2013,35.2,20.6,17.2,289,1.14,176.05,111.81,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4212G3.laz,2013-07-12,C,NA,NA,NA,39
908085,335340.14,6918556.82,2013,25.4,18.3,14.5,181.1,135.56,45.53,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214A3.laz,2013-07-12,C,NA,NA,NA,0
908091,339387.57,6917542.23,2013,18.9,13.6,13.2,122.61,30.28,32.21,60.11,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4213D2.laz,2013-07-12,C,NA,NA,NA,49
908092,339377.33,6917805.31,2013,27.7,12.5,12.5,174.14,78.63,20.84,74.68,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4213D2.laz,2013-07-12,C,NA,NA,NA,43
908095,339638.29,6918552.59,2013,13.3,14.4,12.7,84.54,73.18,4.19,7.18,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214C1.laz,2013-07-12,C,NA,NA,NA,8
908097,340129.64,6918555.75,2013,19.6,18.9,15.1,145.95,145.95,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214C1.laz,2013-07-12,C,NA,NA,NA,0
908102,343688.82,6917797.34,2013,24.3,20.3,15,178.17,158.88,7.81,11.47,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4213D4.laz,2013-07-12,C,NA,NA,NA,6
908105,343938.34,6918552.65,2013,16.8,13.7,11.1,95.41,85.27,0,10.14,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214C3.laz,2013-07-12,C,NA,NA,NA,11
908106,344189.17,6918551.35,2013,14.4,19.4,15.1,106.5,106.5,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214E1.laz,2013-07-12,C,NA,NA,NA,0
908107,344438.55,6918551.22,2013,15,19.3,15.9,114.93,87.27,0.68,26.98,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214E1.laz,2013-07-12,C,NA,NA,NA,23
908108,344689.87,6918548.69,2013,18.5,20,14.7,134.09,132.98,0,1.1,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214E1.laz,2013-07-12,C,NA,NA,NA,1
908111,347985.67,6917550.53,2013,34.6,32.8,22.9,346.05,86.87,207.12,52.06,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4213F4.laz,2013-07-12,C,NA,NA,NA,15
908112,347990.7,6917803.66,2013,30.6,27.1,22.4,308.05,13.18,138.31,156.56,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4213F4.laz,2013-07-12,C,NA,NA,NA,51
908113,347990.59,6918050.04,2013,10.6,14.9,11.2,61.46,61.46,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214E3.laz,2013-07-12,C,NA,NA,NA,0
908114,347990.07,6918302.74,2013,18.1,24.4,18.8,158.21,24.07,118.02,16.12,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214E3.laz,2013-07-12,C,NA,NA,NA,10
908115,348241.28,6918552.8,2013,25.6,15,13.4,169.96,116.97,0.49,52.5,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130114_BLOM_ahtari_block2_kesa/1/N4214E3.laz,2013-07-12,C,NA,NA,NA,31
908117,348737.83,6918553.57,2013,39.3,31.3,21.8,380.77,0,367.82,12.95,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4214E3.laz,2013-07-14,C,NA,NA,NA,3
908121,352289.03,6917543.76,2013,24.8,20.4,15.6,182.8,62.78,72.02,48,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4213H2.laz,2013-07-14,C,NA,NA,NA,26
908122,352286.85,6917802.7,2013,23.7,21.5,18.1,207.24,88.7,116.84,1.7,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4213H2.laz,2013-07-14,C,NA,NA,NA,1
908123,352288.54,6918046.92,2013,14.5,16.4,12.6,92.17,78.22,0,13.95,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4214G1.laz,2013-07-14,C,NA,NA,NA,15
908124,352286.12,6918293.63,2013,35.4,21.9,19,322.75,306.56,14.74,1.46,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4214G1.laz,2013-07-14,C,NA,NA,NA,0
908127,353035.92,6918548.28,2013,17.9,15.7,11.9,108.21,101.81,0,6.4,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4214G3.laz,2013-07-14,C,NA,NA,NA,6
908128,353292.43,6918551.1,2013,9.9,11.5,9.7,50.47,29,13.49,7.98,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4214G3.laz,2013-07-14,C,NA,NA,NA,16
908135,356842.98,6918553.21,2013,16.7,18.9,14.5,116.74,73.97,0,42.77,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4232A1.laz,2013-07-14,C,NA,NA,NA,37
908144,360882.01,6918296.16,2013,14.3,18.2,12,87.07,87.07,0,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4232A3.laz,2013-07-14,C,NA,NA,NA,0
